Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0469790502266166,1.61834773303264E-06,0.123035789960527,0,0,0,16.7192241189448,0.140582859202792,2.83037472192047E-05,-0.00984495187263393,0.224200184464544,0.000101149097526633,0.237777320074336,0,0,0,0,0,0,package://MZ12H/meshes/base.STL,0.341176470588235,0.345098039215686,0.333333333333333,1,0,0,0,0,0,0,package://MZ12H/meshes/base.STL,,MZ12_S1_ASSY-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0613626410453378,0.0188721912880544,0.152870228860557,0,0,0,20.9171454922225,0.110126457177156,-0.00473763821670739,-0.0529538451426142,0.226254969136583,-0.00495067855889052,0.172122244580922,0,0,0,0,0,0,package://MZ12H/meshes/link1.STL,0.576470588235294,0.572549019607843,0.549019607843137,1,0,0,0,0,0,0,package://MZ12H/meshes/link1.STL,,MZ12H_A2_ASSY-1,Origin_j1,Axis_j1,j1,revolute,0,-0.231,0,1.5708,0,0,base,0,0,1,0,0,-2.9671,2.9671,,,,,,,,
link1_logo_left,0.150312949862141,0.248875315941585,0.239098281728793,0,0,0,0.000262575877525965,7.44374975303084E-09,8.64546589651729E-10,2.50701481743884E-09,2.07301578748132E-08,-8.61202719764026E-11,1.38381186463388E-08,0,0,0,0,0,0,package://MZ12H/meshes/link1_logo_left.STL,0.870588235294118,0.0392156862745098,0.0470588235294118,1,0,0,0,0,0,0,package://MZ12H/meshes/link1_logo_left.STL,,mz12hlgoo-1,Origin_j1_logo_left,Axis_j1,j1_logo_left,fixed,0,0.01,0,0,0,0,link1,0,0,1,,,,,,,,,,,,
link2,0.0623980667137999,-0.011688929265728,0.27605855530228,0,0,0,7.26567587988546,0.41814900966204,5.03439350210715E-05,0.00251520037520166,0.41205974400945,-0.0038164335288836,0.0142047787334226,0,0,0,0,0,0,package://MZ12H/meshes/link2.STL,0.749019607843137,0.701960784313725,0.541176470588235,1,0,0,0,0,0,0,package://MZ12H/meshes/link2.STL,,MZ12_A2_ARM_ASSY-1,Origin_j2,Axis_j2,j2,continuous,0.15,0.0815,0.23902,1.5708,0,1.5708,link1,1,-1,0,,,,,,,,,,,,
link3,0.0522416745257065,-0.0609408298411281,0.0713682792928128,0,0,0,13.4942571777588,0.110456078294007,-0.00622672914507432,-0.0404285539242859,0.14648876385358,-0.00949047001002069,0.12701209134827,0,0,0,0,0,0,package://MZ12H/meshes/link3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://MZ12H/meshes/link3.STL,,MZ12_A1_ASSY-1,Origin_j3,Axis_j3,j3,revolute,0,0,0.61,0,0.0082054,-1.5708,link2,0,-1,0,0,0,-1.4486,2.0944,,,,,,,,
link4,0.208608574244208,-0.000337646269100124,0.000168146084245424,0,0,0,7.6088166218264,0.0280714946804675,0.0003024946118364,0.000400915123428242,0.128234488551133,-9.96974020912568E-06,0.141574725503228,0,0,0,0,0,0,package://MZ12H/meshes/link4.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://MZ12H/meshes/link4.STL,,MZ12H_WRIST1_Assy-1,Origin_j4,Axis_j4,j4,revolute,0.2333,-0.0815,0.14192,0,-0.0082054,0,link3,1,0,0,0,0,-3.3161,3.3161,,,,,,,,
link4_right_logo,-0.235925689641256,-0.000345037044700997,0.000168193510180714,0,0,0,7.6094427354956,0.028071535930797,0.000302493156933252,0.000400905176762529,0.128234598409566,-9.97185999519496E-06,0.141574794699783,0,0,0,0,0,0,package://MZ12H/meshes/link4_right_logo.STL,1,0.0431372549019608,0.0549019607843137,1,0,0,0,0,0,0,package://MZ12H/meshes/link4_right_logo.STL,,mz12h nachi-1,Origin_j4_logo_right,Axis_j4,j4_logo_right,fixed,0.44454,0,0,0,0,0,link4,0,0,0,,,,,,,,,,,,
link4_left_logo,-0.179861973343286,0.0802237280835541,0.00083733224611271,0,0,0,0.000628941851328343,4.14048609012412E-08,7.82737004498243E-10,9.94327862061095E-09,1.10193761829483E-07,2.03998266642208E-09,6.9439930381172E-08,0,0,0,0,0,0,package://MZ12H/meshes/link4_left_logo.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://MZ12H/meshes/link4_left_logo.STL,,mz12 nachi sol-1,Origin_j4_left_logo,Axis_j4,j4_left_logo,fixed,0.44454,0.01,0,0,0,0,link4,0,0,0,,,,,,,,,,,,
link5,0.0301921093433676,-0.0164152532377129,3.04838315093869E-05,0,0,0,0.560948385919128,0.00069962448211746,-7.81167527798409E-05,-1.31276421239161E-06,0.000654825285157465,-9.59334572487422E-07,0.000745996081771913,0,0,0,0,0,0,package://MZ12H/meshes/link5.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://MZ12H/meshes/link5.STL,,MZ12H_WRIST2_Assy-1,Origin_j5,Axis_j5,j5,revolute,0.44454,0.01,0,0,0,0,link4,0,-1,0,0,0,0,0,,,,,,,,
link6,0.0109080577638027,-8.01024314118457E-05,8.00879297312429E-05,0,0,0,0.0439410372876388,3.16845620199133E-05,2.05386349782908E-08,-2.05307218072492E-08,1.67817077268533E-05,-1.78021707955712E-07,1.69014193828846E-05,0,0,0,0,0,0,package://MZ12H/meshes/link6.STL,0.341176470588235,0.345098039215686,0.333333333333333,1,0,0,0,0,0,0,package://MZ12H/meshes/link6.STL,,MZ12H_WRIST3_Assy-1,Origin_j6,Axis_j6,j6,revolute,0.082,-0.01,0,0,0,0,link5,1,0,0,0,0,0,6.2832,,,,,,,,
